* Measurement data saved by REW V5.01 Beta 24
* Source: Microphone (2- USB Audio CODEC , MICROPHONE (Master Volume), Right channel, volume: 0.251
* Format:  512k Log Swept Sine, 1 sweep at -12.0 dB FS
* Dated: 07-Feb-2015 13:07:51
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: 15
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 59.9 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
59.932 59.746 77.573
60.804 59.866 77.342
61.688 59.981 77.086
62.586 60.089 76.849
63.496 60.195 76.613
64.420 60.306 76.382
65.357 60.418 76.163
66.307 60.533 75.933
67.272 60.644 75.681
68.250 60.755 75.382
69.243 60.862 75.118
70.250 60.980 74.839
71.272 61.086 74.533
72.309 61.174 74.274
73.360 61.265 74.179
74.427 61.421 73.730
75.510 61.544 73.462
76.608 61.666 73.212
77.723 61.780 72.931
78.853 61.889 72.651
80.000 61.996 72.383
81.164 62.114 72.061
82.344 62.229 71.745
83.542 62.345 71.445
84.757 62.464 71.146
85.990 62.581 70.816
87.241 62.708 70.505
88.510 62.824 70.188
89.797 62.936 69.834
91.103 63.054 69.498
92.428 63.173 69.149
93.773 63.291 68.803
95.137 63.414 68.435
96.520 63.524 68.099
97.924 63.647 67.748
99.349 63.774 67.351
100.794 63.896 66.997
102.260 64.013 66.600
103.747 64.140 66.222
105.256 64.267 65.832
106.787 64.385 65.418
108.340 64.510 65.051
109.916 64.638 64.649
111.515 64.754 64.234
113.137 64.868 63.834
114.783 64.990 63.380
116.452 65.108 62.928
118.146 65.228 62.494
119.865 65.342 62.065
121.608 65.462 61.616
123.377 65.581 61.165
125.171 65.700 60.712
126.992 65.815 60.225
128.839 65.933 59.732
130.713 66.047 59.259
132.615 66.168 58.757
134.543 66.287 58.274
136.500 66.399 57.759
138.486 66.515 57.224
140.500 66.633 56.702
142.544 66.749 56.194
144.617 66.877 55.837
146.721 66.980 55.070
148.855 67.095 54.558
151.020 67.206 54.020
153.217 67.324 53.426
155.445 67.441 52.844
157.706 67.555 52.267
160.000 67.669 51.670
162.327 67.786 51.042
164.688 67.901 50.431
167.084 68.013 49.804
169.514 68.120 49.174
171.980 68.233 48.539
174.481 68.345 47.890
177.019 68.457 47.257
179.594 68.564 46.576
182.206 68.676 45.890
184.856 68.782 45.194
187.545 68.892 44.518
190.273 69.003 43.781
193.041 69.109 43.069
195.849 69.213 42.364
198.697 69.322 41.597
201.587 69.426 40.880
204.520 69.532 40.107
207.494 69.633 39.362
210.512 69.740 38.591
213.574 69.842 37.798
216.681 69.939 37.013
219.833 70.038 36.200
223.030 70.141 35.350
226.274 70.241 34.554
229.565 70.334 33.712
232.905 70.430 32.859
236.292 70.521 32.000
239.729 70.611 31.151
243.216 70.705 30.279
246.754 70.799 29.376
250.343 70.892 28.500
253.984 70.968 27.606
257.678 71.047 26.647
261.426 71.129 25.742
265.229 71.211 24.812
269.087 71.295 23.867
273.001 71.371 22.897
276.972 71.450 21.950
281.000 71.524 20.989
285.088 71.599 19.979
289.234 71.695 18.994
293.441 71.792 18.000
297.709 71.882 16.983
302.040 71.970 15.995
306.433 72.045 14.963
310.890 72.120 13.968
315.412 72.186 12.899
320.000 72.254 11.843
324.655 72.305 10.844
329.377 72.355 9.762
334.168 72.406 8.726
339.028 72.450 7.662
343.959 72.500 6.605
348.962 72.542 5.512
354.038 72.589 4.468
359.188 72.630 3.393
364.412 72.667 2.307
369.713 72.700 1.177
375.090 72.739 0.097
380.546 72.776 -1.018
386.081 72.812 -2.087
391.697 72.849 -3.178
397.394 72.881 -4.300
403.175 72.916 -5.410
409.039 72.953 -6.534
414.989 72.992 -7.620
421.025 73.030 -8.750
427.149 73.072 -9.890
433.362 73.108 -11.004
439.665 73.145 -12.096
446.060 73.172 -13.247
452.548 73.200 -14.400
459.131 73.222 -15.562
465.809 73.251 -16.692
472.584 73.270 -17.873
479.458 73.296 -19.031
486.432 73.317 -20.202
493.507 73.339 -21.411
500.686 73.361 -22.599
507.968 73.386 -23.831
515.357 73.403 -25.025
522.853 73.430 -26.259
530.458 73.451 -27.501
538.174 73.479 -28.772
546.002 73.504 -30.071
553.943 73.541 -31.379
562.001 73.578 -32.691
570.175 73.594 -34.035
578.469 73.619 -35.405
586.883 73.644 -36.829
595.419 73.664 -38.237
604.080 73.678 -39.690
612.866 73.702 -41.123
621.780 73.719 -42.599
630.824 73.737 -44.153
640.000 73.744 -45.655
649.309 73.763 -47.279
658.753 73.771 -48.877
668.335 73.784 -50.535
678.056 73.784 -52.230
687.919 73.771 -53.850
697.925 73.751 -55.638
708.077 73.742 -57.390
718.376 73.742 -59.188
728.825 73.738 -61.019
739.426 73.741 -62.858
750.181 73.724 -64.738
761.093 73.709 -66.654
772.163 73.691 -68.539
783.394 73.669 -70.560
794.789 73.643 -72.521
806.349 73.608 -74.538
818.078 73.595 -76.591
829.977 73.619 -78.658
842.050 73.636 -80.741
854.298 73.601 -82.815
866.724 73.548 -84.963
879.330 73.496 -87.120
892.120 73.439 -89.318
905.097 73.376 -91.484
918.262 73.318 -93.639
931.618 73.249 -95.840
945.169 73.180 -98.022
958.917 73.113 -100.286
972.864 73.043 -102.528
987.015 72.970 -104.686
1001.371 72.889 -106.896
1015.937 72.816 -109.180
1030.714 72.738 -111.382
1045.706 72.662 -113.666
1060.916 72.596 -115.934
1076.347 72.518 -118.182
1092.003 72.462 -120.446
1107.887 72.429 -122.813
1124.001 72.373 -125.104
1140.350 72.318 -127.507
1156.937 72.244 -129.817
1173.765 72.182 -132.240
1190.838 72.123 -134.661
1208.159 72.092 -137.176
1225.732 72.035 -139.588
1243.561 71.983 -142.128
1261.649 71.924 -144.652
1280.000 71.865 -147.185
1298.618 71.812 -149.730
1317.507 71.757 -152.335
1336.670 71.698 -154.857
1356.113 71.646 -157.437
1375.838 71.601 -159.937
1395.850 71.567 -162.502
1416.153 71.526 -164.990
1436.751 71.504 -167.466
1457.649 71.486 -169.982
1478.851 71.476 -172.419
1500.362 71.482 -174.873
1522.185 71.511 -177.382
1544.326 71.549 -179.926
1566.789 71.587 177.492
1589.578 71.642 174.793
1612.699 71.708 172.049
1636.156 71.766 169.193
1659.955 71.829 166.253
1684.099 71.905 163.243
1708.595 71.968 160.110
1733.447 72.025 156.919
1758.661 72.063 153.665
1784.241 72.096 150.351
1810.193 72.097 147.020
1836.523 72.104 143.619
1863.236 72.077 140.245
1890.337 72.038 136.951
1917.833 71.958 133.649
1945.729 71.882 130.530
1974.030 71.767 127.514
2002.743 71.644 124.692
2031.873 71.522 122.053
2061.428 71.377 119.589
2091.412 71.233 117.266
2121.832 71.064 115.190
2152.695 70.913 113.258
2184.006 70.763 111.567
2215.774 70.624 109.948
2248.003 70.522 108.637
2280.701 70.428 107.474
2313.874 70.372 106.458
2347.530 70.369 105.461
2381.676 70.368 104.550
2416.318 70.393 103.644
2451.464 70.448 102.563
2487.122 70.526 101.363
2523.298 70.601 100.147
2560.000 70.662 98.832
2597.236 70.737 97.394
2635.014 70.802 95.997
2673.341 70.864 94.601
2712.226 70.923 93.209
2751.676 70.978 91.922
2791.700 71.033 90.511
2832.306 71.093 89.245
2873.503 71.170 87.883
2915.299 71.225 86.662
2957.703 71.275 85.426
3000.724 71.357 84.327
3044.370 71.453 83.419
3088.652 71.587 82.603
3133.577 71.787 81.475
3179.156 72.009 80.123
3225.398 72.256 78.304
3272.312 72.487 75.986
3319.909 72.654 73.229
3368.198 72.776 70.171
3417.190 72.821 66.882
3466.894 72.781 63.431
3517.321 72.619 60.124
3568.482 72.378 57.267
3620.387 72.082 54.975
3673.046 71.793 53.484
3726.472 71.495 52.631
3780.675 71.344 51.828
3835.666 71.232 50.878
3891.457 71.002 49.769
3948.060 70.791 48.373
4005.486 70.598 46.964
4063.747 70.332 45.702
4122.855 69.933 44.816
4182.824 69.624 44.339
4243.664 69.247 44.170
4305.390 68.890 44.847
4368.013 68.621 46.481
4431.547 68.533 48.425
4496.006 68.540 49.569
4561.401 68.549 49.995
4627.749 68.426 50.369
4695.061 68.264 51.236
4763.352 68.108 52.634
4832.636 67.995 54.459
4902.929 67.909 56.712
4974.244 67.879 60.590
5046.596 68.125 64.940
5120.000 68.815 68.018
5194.472 69.606 68.470
5270.027 70.309 67.412
5346.682 70.848 65.290
5424.451 71.233 62.790
5503.352 71.509 59.901
5583.400 71.621 57.215
5664.612 71.603 55.158
5747.006 71.591 54.219
5830.598 71.716 53.631
5915.406 71.903 52.623
6001.447 72.010 51.091
6088.740 71.968 49.178
6177.303 71.853 47.499
6267.154 71.727 46.002
6358.312 71.690 44.656
6450.796 71.629 43.550
6544.625 71.590 42.479
6639.819 71.638 40.772
6736.397 71.530 38.862
6834.380 71.267 37.564
6933.788 71.064 37.077
7034.643 70.889 37.353
7136.964 70.775 38.481
7240.773 70.882 39.030
7346.093 71.107 38.238
7452.944 71.119 36.322
7561.350 70.931 35.334
7671.332 70.790 35.463
7782.914 70.667 35.899
7896.119 70.576 36.941
8010.971 70.613 37.912
8127.493 70.724 39.224
8245.710 70.730 40.773
8365.647 70.896 41.824
8487.328 71.189 42.467
8610.779 71.911 41.038
8736.026 72.475 37.393
8863.094 72.698 33.621
8992.011 72.656 30.242
9122.803 72.634 26.806
9255.497 72.569 24.161
9390.121 72.554 21.790
9526.704 72.446 20.260
9665.273 72.439 19.414
9805.858 72.597 17.551
9948.487 72.603 15.145
10093.191 72.609 13.231
10240.000 72.636 12.207
10388.944 72.947 10.670
10540.055 73.159 6.595
10693.364 73.047 2.218
10848.902 72.774 -0.919
11006.703 72.470 -2.555
11166.799 72.382 -3.650
11329.224 72.343 -5.211
11494.011 72.415 -6.931
11661.196 72.457 -9.617
11830.812 72.387 -13.039
12002.895 72.176 -16.754
12177.481 71.728 -19.206
12354.606 71.355 -20.399
12534.308 71.234 -20.887
12716.624 71.213 -23.416
12901.592 70.910 -26.520
13089.250 70.413 -28.860
13279.637 69.840 -29.415
13472.794 69.336 -28.146
13668.760 69.301 -26.515
13867.577 69.253 -27.007
14069.285 68.887 -27.538
14273.928 68.672 -24.967
14481.547 68.935 -23.031
14692.186 69.377 -23.935
14905.889 69.530 -26.233
15122.700 69.395 -26.360
15342.664 69.769 -25.650
15565.829 70.177 -29.468
15792.239 69.921 -33.313
16021.942 69.751 -32.340
16254.987 70.226 -32.620
16491.421 70.551 -36.329
16731.294 70.424 -39.974
16974.657 70.173 -40.281
17221.559 70.747 -37.307
17472.052 72.100 -42.283
17726.189 72.411 -53.281
17984.022 72.207 -61.297
18245.606 71.768 -69.606
18510.994 70.781 -73.972
18780.243 70.573 -76.792
19053.408 70.060 -83.957
19330.546 69.029 -88.258
19611.715 68.034 -88.855
19896.974 67.526 -88.696
20186.382 67.414 -91.879
20480.000 66.870 -98.077
20777.888 65.640 -105.126
21080.110 64.716 -110.347
21386.727 64.583 -114.275
21697.804 63.620 -121.451
22013.406 61.197 175.263
